2379	-20
2457	0
2535	-60
2691	-80
2964	-100
3003	-120
3120	-140
3276	-160
3393	-160
3510	-160
3705	-200
3861	-220
3978	-240
4056	-260
4134	-260
4329	-280
4524	-300
4602	-300
4719	-320
4875	-340
4992	-340
5148	-360
5265	-360
5460	-380
5499	-400
5616	-400
5811	-420
5928	-440
6123	-440
6279	-460
6435	-460
6513	-480
6630	-500
6669	-520
6903	-500
7059	-540
7215	-560
7254	-560
7449	-580
7488	-580
7800	-600
7917	-620
8034	-560
8151	-640
8268	-640
8385	-640
8541	-660
8619	-680
8814	-680
8775	-700
9009	-700
9126	-720
9360	-740
9438	-760
9516	-760
9633	-780
9789	-780
9828	-780
9984	-800
10101	-800
10179	-820
10296	-820
10335	-840
10452	-860
10647	-860
10803	-860
10842	-840
11037	-860
11115	-840
11193	-900
11388	-900
11505	-900
11700	-920
11817	-940
11934	-940
12051	-960
12129	-980
12246	-980
12363	-1000
12519	-1000
12597	-1000
12831	-1020
12831	-1020
12870	-1040
13065	-1060
13182	-1060
13221	-1080
13338	-1080
13455	-1080
13572	-1100
13767	-1120
13845	-1120
14040	-1140
14079	-1140
14157	-1140
14274	-1160
14391	-1180
14625	-1180
14742	-1200
14781	-1200
14820	-1220
14937	-1220
15093	-1240
15171	-1240
15405	-1260
15522	-1280
15405	-1280
15600	-1240
15678	-1300
15795	-1300
15951	-1320
16029	-1320
16263	-1340
16302	-1340
16341	-1360
16419	-1360
16536	-1380
16731	-1380
16731	-1420
16809	-1400
16848	-1400
16965	-1420
17160	-1420
17238	-1440
17316	-1440
17511	-1460
17511	-1460
17589	-1440
17667	-1480
17823	-1500
17901	-1500
17940	-1500
18018	-1520
18096	-1520
18135	-1540
18174	-1540
18330	-1520
18408	-1560
18447	-1560
18525	-1560
18681	-1580
18642	-1580
18759	-1600
18837	-1600
18954	-1620
19188	-1620
19227	-1620
19305	-1640
19344	-1640
19578	-1660
19929	-1660
19578	-1660
19578	-1680
19656	-1680
19617	-1680
19617	-1700
19617	-1700
19929	-1780
19929	-1720
19617	-1720
19578	-1740
19617	-1740
19578	-1760
19578	-1760
19773	-1760
19578	-1780
19578	-1780
19578	-1780
19578	-1780
19617	-1800
19929	-1800
19617	-1820
19578	-1820
19578	-1820
19578	-1820
19929	-1840
19578	-1840
19929	-1840
19578	-1860
19617	-1860
19578	-1860
19578	-1860
19617	-1880
19929	-1880
19773	-1880
19695	-1880
19734	-1880
19734	-1880
19734	-1860
19734	-1860
19734	-1860
19812	-1860
19734	-1840
19695	-1840
19773	-1840
19734	-1820
19695	-1820
19734	-1820
19734	-1800
19695	-1800
19773	-1800
19734	-1800
19734	-1780
19734	-1780
19734	-1760
19734	-1760
19734	-1740
19773	-1740
19734	-1720
19773	-1740
19773	-1720
19734	-1700
19890	-1700
19773	-1700
19695	-1660
19656	-1680
19734	-1660
19734	-1660
19695	-1660
19734	-1640
19695	-1640
19695	-1600
19461	-1620
19422	-1600
19344	-1600
19227	-1600
19110	-1600
18876	-1580
18798	-1580
18720	-1560
18720	-1560
18642	-1540
18525	-1560
18486	-1540
18408	-1520
18369	-1520
18252	-1500
18213	-1500
18096	-1480
18018	-1440
17940	-1460
17862	-1460
17706	-1440
17667	-1440
17589	-1440
17511	-1420
17394	-1420
17238	-1400
17121	-1400
17004	-1380
16965	-1380
16848	-1360
16770	-1360
16653	-1340
16536	-1340
16536	-1340
16380	-1320
16380	-1320
16224	-1300
16068	-1300
15912	-1280
15873	-1280
15678	-1260
15639	-1240
15678	-1240
15522	-1220
15327	-1220
14937	-1200
15171	-1200
14898	-1180
14859	-1180
14859	-1160
14781	-1160
14508	-1140
14391	-1160
14274	-1120
14196	-1120
14118	-1100
14040	-1100
13884	-1080
13728	-1060
13728	-1060
13494	-1040
13377	-1020
13260	-1020
13143	-1000
13026	-1000
12948	-1000
12753	-960
12597	-960
12597	-960
12480	-940
12324	-920
12207	-920
12168	-920
12051	-900
11973	-900
11856	-880
11661	-860
11544	-860
11388	-820
11232	-820
11076	-800
11037	-800
10881	-800
10764	-780
10647	-760
10452	-760
10257	-740
10257	-720
10296	-740
9984	-700
9906	-700
9672	-680
9672	-680
9672	-680
9438	-660
9321	-640
9243	-640
9048	-620
9048	-600
8931	-600
8736	-580
8619	-580
8619	-580
8619	-580
8580	-580
8580	-580
8268	-540
8151	-520
8151	-540
7995	-500
7956	-500
7800	-500
7644	-480
7488	-480
7293	-460
7176	-440
7098	-440
7020	-420
6786	-420
6630	-400
6513	-380
6396	-360
6201	-360
6084	-340
6006	-340
5889	-320
5616	-300
5538	-280
5421	-280
5265	-260
5148	-240
4992	-220
4953	-240
4758	-220
4602	-180
4524	-180
4407	-160
4251	-140
4095	-120
3939	-100
3861	-100
3744	-80
3588	-60
3432	-40
3276	0
3120	20
3003	40
2886	60
2730	80
2574	100
2457	140
2340	140
2106	180
2028	180
1911	200
1677	180
1599	220
1443	240
1365	280
1287	260
1092	300
936	340
741	340
546	380
429	400
468	420
195	440
0	480
-117	500
-312	540
-390	540
-546	580
-702	620
-780	640
-936	660
-1170	720
-1287	720
-1482	740
-1599	740
-1794	820
-1911	840
-2067	860
-2145	880
-2301	900
-2418	920
-2652	980
-2808	1000
-3003	960
-3081	1040
-3198	1020
-3354	1040
-3471	1080
-3627	1100
-3822	1140
-3900	1160
-4134	1200
-4251	1240
-4524	1280
-4680	1300
-4758	1320
-4797	1340
-4875	1360
-5070	1380
-5187	1460
-5382	1440
-5499	1480
-5655	1500
-5772	1520
-5850	1540
-5967	1560
-6123	1600
-6279	1640
-6435	1660
-6513	1680
-6630	1720
-6864	1760
-7098	1800
-7215	1820
-7293	1840
-7410	1860
-7527	1880
-7644	1920
-7839	1960
-7917	1980
-8112	2020
-8190	2040
-8307	2040
-8463	2080
-8541	2140
-8736	2140
-8931	2180
-9087	2220
-9165	2220
-9243	2260
-9321	2280
-9477	2300
-9594	2320
-9750	2360
-9867	2380
-9984	2400
-10140	2480
-10374	2500
-10491	2500
-10530	2540
-10725	2560
-10803	2580
-10920	2600
-10998	2620
-11232	2660
-11349	2680
-11466	2720
-11583	2740
-11700	2760
-11700	2780
-12012	2820
-12012	2860
-12285	2880
-12441	2920
